,constituency,state,Image,status,Vote,Margin,Candidate,Party
0,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/RAMES-2024-7564.jpg,won,762069 ,+ 296530,C.M.RAMESH,Bharatiya Janata Party
1,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BUDIM-2024-7070.jpg,lost,465539 , -296530,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
2,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VEGIV-2024-20240501093251.jpg,lost,25651 , -736418,VEGI VENKATESH,Indian National Congress
3,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PALAK-2024-7108.jpg,lost,19157 , -742912,PALAKA SREERAMA MURTHY,Bahujan Samaj Party
4,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VANKA-2024-7116.jpg,lost,4002 , -758067,VANKAYALA RAMACHANDRA RAO,Independent
5,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/LOVAR-2024-7093.jpg,lost,3852 , -758217,LOVARAJU SIDDHA,Independent
6,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KRISH-2024-7898.jpg,lost,3557 , -758512,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party
7,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GARAS-2024-7609.jpg,lost,3124 , -758945,GARA SURYA RAO,Independent
8,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NAMMI-2024-5991.jpg,lost,2619 , -759450,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party
9,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NAGES-2024-8812.jpg,lost,2184 , -759885,NAGESWARA RAO PETLA,Independent
10,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ADARI-2024-6717.jpg,lost,1913 , -760156,ADARI SARAT CHANDRA,Jai Bharat National Party
11,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VIJAY-2024-5939.jpg,lost,1591 , -760478,VIJAYA LAKSHMI KARRI,Pyramid Party of India
12,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/THUMM-2024-7837.jpg,lost,1576 , -760493,DR. THUMMAPALA HARI  SHANKAR,Independent
13,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JUNNU-2024-8972.jpg,lost,1201 , -760868,JUNNURI J SRINIVAS,Independent
14,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/APPAL-2024-7872.jpg,lost,1062 , -761007,APPALANAIDU TUMMAGUNTA,Independent
15,Anakapalle(5),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 5 - Anakapalle  (Andhra Pradesh)

            ",img/nota.jpg,,26235 , -735834,NOTA,None of the Above
16,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DAGGU-2024-6365.jpg,won,726515 ,+ 239139,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
17,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SRINI-2024-7188.jpg,lost,487376 , -239139,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
18,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VEERA-2024-7190.jpg,lost,32508 , -694007,GIDUGU RUDRARAJU,Indian National Congress
19,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GANES-2024-7468.jpg,lost,20409 , -706106,GANESWARA RAO PARAMATA,Bahujan Samaj Party
20,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAR-2024-7194.jpg,lost,17008 , -709507,BATTULA BALARAMAKRISHNA,Navarang Congress Party
21,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SALOP-2024-20240429112309.jpg,lost,3278 , -723237,SALOPANTULA RAGHAVENDRA RAO,Independent
22,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DRME-2024-20240429112128.jpg,lost,3115 , -723400,DR. MEDISI RATNARAO ALIAS VINAY,Independent
23,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SINGU-2024-20240429104358.jpg,lost,2833 , -723682,MOHANARAO SINGULURI,Jai Bharat National Party
24,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MEDAS-2024-7193.jpg,lost,2429 , -724086,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular)
25,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BVS-2024-8078.jpg,lost,2179 , -724336,BOMMANABOINA VSR MURTHY,Independent
26,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KURUV-2024-7482.jpg,lost,1958 , -724557,BHANU CHANDAR KURUVELLA,Independent
27,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JALLI-2024-8820.jpg,lost,1254 , -725261,JALLI BALA NAVEENA,Independent
28,Rajahmundry(8),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 8 - Rajahmundry  (Andhra Pradesh)

            ",img/nota.jpg,,24435 , -702080,NOTA,None of the Above
29,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BHUPA-2024-20240423044120.jpg,won,707343 ,+ 276802,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party
30,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UMABA-2024-20240419033825.jpg,lost,430541 , -276802,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party
31,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BRAHM-2024-8318.jpg,lost,35213 , -672130,K.B.R.NAIDU,Indian National Congress
32,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UNDUR-2024-6051.jpg,lost,6364 , -700979,PRASANNA KUMAR UNDURTHI,Independent
33,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SIRRA-2024-8456.jpg,lost,6014 , -701329,SIRRA RAJU,Bahujan Samaj Party
34,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MEDAP-2024-20240423032951.jpg,lost,5969 , -701374,MEDAPATI VENKATA VARAHALA REDDY,Independent
35,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAG-2024-8292.jpg,lost,5240 , -702103,BALAGAM NAYAKAR,Independent
36,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/NALLI-2024-8437.jpg,lost,4684 , -702659,NALLI RAJESH,Independent
37,Narsapuram(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - Narsapuram  (Andhra Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KETHA-2024-20240423033016.jpg,lost,3145 , -704198,KETHA SREENU,Independent
